address,type,animal,cell,aff,KT,passive,badtrial,trimdatacheck,amp,IBA,DRA,SRA,DI,restRate,peakifr,meanifr,spikect,triIB,trisc1,trisc2,trimifr1,trimifr2,kMTU,kFas,FasExc
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp58.mat,ramp,A18042-19-10,3,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp59.mat,ramp,A18042-19-10,3,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp6.mat,ramp,A18042-19-10,1,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp60.mat,ramp,A18042-19-10,3,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp61.mat,sine,A18042-19-10,3,,T,0,0,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp7.mat,ramp,A18042-19-10,1,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp8.mat,ramp,A18042-19-10,1,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-10\exp9.mat,ramp,A18042-19-10,1,,T,0,0,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp100.mat,ramp,A18042-19-12,3,,A,0,0,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp101.mat,triangle,A18042-19-12,3,,B,1,0,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,176.803394625173,145,112,168.449254422609,149.659690206582,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp102.mat,ramp,A18042-19-12,3,,B,1,0,NaN,3,482.625482625052,274.725274725486,178.571428571505,96.1538461539811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp103.mat,ramp,A18042-19-12,3,,B,1,0,NaN,3,496.031746032343,270.562770562923,176.803394625229,93.7593759376936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp104.mat,ramp,A18042-19-12,3,,B,1,0,NaN,3,469.924812030292,266.52452025596,178.571428571392,87.9530916845682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp105.mat,ramp,A18042-19-12,3,,B,1,0,NaN,3,415.282392026124,255.102040816736,176.803394625118,78.2986461916181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp106.mat,ramp,A18042-19-12,3,,B,1,0,NaN,3,396.825396824755,255.102040816736,175.070028011125,80.0320128056114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp107.mat,ramp,A18042-19-12,3,,B,0,0,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp108.mat,triangle,A18042-19-12,3,,C,1,0,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,220.458553791893,138,103,165.9765191899,144.760644687569,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp109.mat,ramp,A18042-19-12,3,,C,1,0,NaN,4.5,510.204081632547,307.881773399086,180.375180375166,127.50659302392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp110.mat,ramp,A18042-19-12,3,,C,1,0,NaN,4.5,525.210084033701,318.87755102027,178.571428571392,140.306122448878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp111.mat,ramp,A18042-19-12,3,,C,1,0,NaN,4.5,510.204081633472,297.619047619615,178.571428571392,119.047619048224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp112.mat,ramp,A18042-19-12,3,,C,0,0,NaN,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp113.mat,triangle,A18042-19-12,3,,C,1,0,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,231.910946196679,106,74,134.740380134883,118.794624954228,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp114.mat,ramp,A18042-19-12,3,,C,0,0,NaN,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp115.mat,NA,A18042-19-12,3,,C,1,0,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp116.mat,triangle,A18042-19-12,3,,C,1,0,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,215.14629948365,121,86,148.459809065758,128.229002199927,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp117.mat,ramp,A18042-19-12,3,,C,0,0,NaN,4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp118.mat,triangle,A18042-19-12,3,,T,0,0,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp119.mat,NA,A18042-19-12,3,,T,0,0,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp120.mat,ramp,A18042-19-12,3,,T,0,0,NaN,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp121.mat,ramp,A18042-19-12,3,,T,0,0,NaN,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp122.mat,ramp,A18042-19-12,3,,T,0,0,NaN,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp123.mat,ramp,A18042-19-12,3,,T,0,0,NaN,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp124.mat,ramp,A18042-19-12,3,,T,0,0,NaN,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp125.mat,ramp,A18042-19-12,3,,T,0,0,NaN,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp126.mat,ramp,A18042-19-12,3,,T,0,0,NaN,3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp127.mat,triangle,A18042-19-12,3,,T,1,0,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,196.232339089688,125,93,159.126229205527,146.942099399067,NaN,NaN,NaN
C:\Users\Jake\Documents\Data\Spindle_spring_struct\A18042-19-12\exp128.mat,ramp,A18042-19-12,3,,T,1,0,NaN,3,541.125541124805,307.881773398412,126.646403242224,181.235370156188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
